job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_range_time,pp_crab_range_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
nospec_mask,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,n/a,n/a,n/a,n/a,n/a,n/a,0.00
ptr_eq,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,n/a,n/a,n/a,n/a,n/a,n/a,0.00
add_size_checked,n/a,n/a,n/a,18,105,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.03,0.02,n/a,n/a,n/a,n/a,0.01,0.03
add_size_saturating,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,n/a,n/a,n/a,n/a,n/a,n/a,0.01
mul_size_checked,n/a,n/a,n/a,18,105,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.04,0.02,n/a,n/a,n/a,n/a,0.01,0.03
mul_size_saturating,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,n/a,n/a,n/a,n/a,n/a,n/a,0.00
is_power_of_two,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,n/a,n/a,n/a,n/a,n/a,n/a,0.00
round_up_to_power_of_two,n/a,n/a,n/a,14,69,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.04,0.01,n/a,n/a,n/a,n/a,0.01,0.02
array_list_clean_up,n/a,n/a,n/a,35,145,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.07,0.02,n/a,n/a,n/a,n/a,0.01,0.04
array_list_comparator_string,n/a,n/a,n/a,287,2119,22,33,4,13,0.50,0.22,0.05,0.25,0.79,n/a,n/a,n/a,n/a,0.04,0.82
array_list_copy,n/a,n/a,n/a,85,342,n/a,n/a,n/a,n/a,0.02,0.01,n/a,0.18,0.04,n/a,n/a,n/a,n/a,0.01,0.05
array_list_init_dynamic,n/a,n/a,n/a,46,189,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.16,0.03,n/a,n/a,n/a,n/a,0.01,0.05
array_list_pop_front,n/a,n/a,n/a,56,233,n/a,1,n/a,1,0.02,0.01,0.02,0.14,0.03,n/a,n/a,n/a,n/a,0.01,0.04
array_list_pop_front_n,n/a,n/a,n/a,62,257,n/a,1,n/a,1,0.02,0.01,0.01,0.13,0.03,n/a,n/a,n/a,n/a,0.01,0.05
array_list_push_front,n/a,n/a,n/a,95,407,n/a,1,n/a,1,0.03,0.01,0.02,0.34,0.07,n/a,n/a,n/a,n/a,0.01,0.08
array_list_swap,n/a,n/a,n/a,73,274,n/a,2,n/a,2,0.02,0.01,0.02,0.13,0.05,n/a,n/a,n/a,n/a,0.01,0.06
array_list_swap_contents,n/a,n/a,n/a,88,367,n/a,2,n/a,2,0.02,0.01,0.02,0.30,0.04,n/a,n/a,n/a,n/a,0.01,0.06
byte_buf_clean_up,n/a,n/a,n/a,28,125,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.06,0.03,n/a,n/a,n/a,n/a,0.01,0.04
byte_buf_clean_up_secure,n/a,n/a,n/a,28,128,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.08,0.03,n/a,n/a,n/a,n/a,0.01,0.05
byte_buf_from_array,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05,n/a,n/a,n/a,n/a,n/a,n/a,0.00
byte_buf_from_c_str,n/a,n/a,n/a,59,424,9,3,9,3,0.03,0.04,0.03,0.09,0.08,n/a,n/a,n/a,n/a,0.01,0.09
byte_buf_from_empty_array,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05,n/a,n/a,n/a,n/a,n/a,n/a,0.01
byte_buf_init,n/a,n/a,n/a,24,106,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.06,0.02,n/a,n/a,n/a,n/a,0.01,0.04
byte_buf_init_copy_from_cursor,n/a,n/a,n/a,26,110,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.09,0.03,n/a,n/a,n/a,n/a,0.01,0.04
byte_buf_reserve,n/a,n/a,n/a,50,210,n/a,n/a,n/a,n/a,0.02,0.01,n/a,0.08,0.04,n/a,n/a,n/a,n/a,0.01,0.05
byte_buf_reserve_relative,n/a,n/a,n/a,58,246,n/a,n/a,n/a,n/a,0.02,0.01,n/a,0.09,0.04,n/a,n/a,n/a,n/a,0.01,0.05
byte_buf_reset,n/a,n/a,n/a,36,154,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.05,0.03,n/a,n/a,n/a,n/a,0.01,0.04
byte_buf_secure_zero,n/a,n/a,n/a,32,137,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.10,0.02,n/a,n/a,n/a,n/a,0.01,0.04
byte_cursor_from_array,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,n/a,n/a,n/a,n/a,n/a,n/a,0.00
byte_cursor_from_c_str,n/a,n/a,n/a,59,424,9,3,9,3,0.05,0.05,0.03,0.08,0.12,n/a,n/a,n/a,n/a,0.01,0.13
byte_cursor_from_string,n/a,n/a,n/a,11,58,n/a,5,n/a,5,0.01,0.01,0.02,0.04,0.04,n/a,n/a,n/a,n/a,0.01,0.05
hash_ptr,n/a,n/a,n/a,6,30,n/a,n/a,n/a,78,0.01,n/a,0.08,0.24,0.02,n/a,n/a,n/a,n/a,0.01,0.03
hash_string,n/a,n/a,n/a,175,730,24,6,84,4,0.16,0.08,0.43,1.47,0.28,n/a,n/a,n/a,n/a,0.02,0.31
hash_array_ignore_case,n/a,n/a,n/a,73,314,11,1,1,n/a,0.03,0.03,0.01,0.06,0.07,n/a,n/a,n/a,n/a,0.01,0.08
hash_byte_cursor_ptr,n/a,n/a,n/a,98,478,n/a,15,n/a,84,0.03,0.02,0.15,0.29,0.07,n/a,n/a,n/a,n/a,0.01,0.09
hash_byte_cursor_ptr_ignore_case,n/a,n/a,n/a,29,160,n/a,n/a,1,n/a,0.01,n/a,0.01,0.08,0.02,n/a,n/a,n/a,n/a,0.01,0.03
hash_c_string,n/a,n/a,n/a,169,801,27,3,55,41,0.05,0.03,0.22,0.50,0.09,n/a,n/a,n/a,n/a,0.01,0.11
hash_callback_string_eq,n/a,n/a,n/a,304,2459,24,37,6,17,0.63,0.24,0.05,0.26,0.94,n/a,n/a,n/a,n/a,0.04,0.98
hash_callback_c_str_eq,n/a,n/a,n/a,332,2772,27,27,11,5,0.45,0.21,0.09,0.24,0.80,n/a,n/a,n/a,n/a,0.08,0.84
hash_callback_string_destroy,n/a,n/a,n/a,18,168,1,7,1,7,0.02,0.02,0.02,0.04,0.05,n/a,n/a,n/a,n/a,0.01,0.06
hash_iter_delete,n/a,n/a,n/a,163,1303,11,53,3,46,0.57,0.52,0.66,2.63,1.17,n/a,n/a,n/a,n/a,0.07,1.19
hash_table_eq,n/a,n/a,n/a,5588,22705,587,475,11,51,24.58,18.55,1.28,13.30,44.28,n/a,n/a,n/a,n/a,0.57,45.03
hash_table_move,n/a,n/a,n/a,49,485,n/a,20,n/a,20,0.04,0.04,0.22,0.34,0.11,n/a,n/a,n/a,n/a,0.03,0.12
hash_table_swap,n/a,n/a,n/a,92,844,n/a,40,n/a,40,0.09,0.08,0.32,0.56,0.21,n/a,n/a,n/a,n/a,0.04,0.22
hash_table_clean_up,n/a,n/a,n/a,255,1265,n/a,143,n/a,39,0.47,0.38,0.33,0.96,0.90,n/a,n/a,n/a,n/a,0.04,0.93
hash_table_clear,n/a,n/a,n/a,254,1258,n/a,140,n/a,36,0.52,0.38,0.29,0.92,0.95,n/a,n/a,n/a,n/a,0.03,0.98
hash_table_create,n/a,n/a,n/a,792,3757,74,92,17,42,2.55,1.37,0.83,3.33,4.04,n/a,n/a,n/a,n/a,0.06,4.11
