bench name,total times (s),vc gen times (s),dec proc times (s),symb exec times (s),postprocess eq (s),SSA times (s),solver times (s),iterations,result (success/fail)
aws_array_eq_c_str,5.701,0.036,0.029,0.024,0.000,0.012,0.029,2,fail
aws_byte_cursor_read,5.734,0.035,1.364,0.021,0.000,0.014,1.364,2,fail
aws_byte_cursor_read_and_fill_buffer,7.781,0.057,0.305,0.037,0.000,0.020,0.305,2,fail
aws_string_eq_byte_buf,5.722,0.076,0.309,0.037,0.000,0.039,0.309,2,fail
