bench name,total times (s),vc gen times (s),dec proc times (s),symb exec times (s),postprocess eq (s),SSA times (s),solver times (s),iterations,result (success/fail)
aws_byte_cursor_eq_ignore_case,5.705,0.081,0.387,0.033,0.000,0.048,0.339,1,success
aws_byte_cursor_from_array,5.679,0.008,0.070,0.005,0.000,0.003,0.067,1,success
aws_byte_cursor_from_buf,5.670,0.022,0.047,0.015,0.000,0.007,0.040,1,success
aws_byte_cursor_from_c_str,5.714,0.021,0.042,0.015,0.000,0.006,0.035,1,success
aws_byte_cursor_from_string,5.680,0.023,0.140,0.013,0.000,0.010,0.129,1,success
aws_byte_cursor_left_trim_pred,5.685,0.030,0.061,0.020,0.000,0.010,0.050,1,success
aws_byte_cursor_read,5.724,0.035,1.458,0.021,0.000,0.014,1.443,1,success
aws_byte_cursor_read_and_fill_buffer,7.772,0.057,2.379,0.037,0.000,0.020,2.359,1,success
aws_byte_cursor_read_be16,5.690,0.037,0.117,0.025,0.000,0.012,0.105,1,success
aws_byte_cursor_read_be32,5.671,0.037,0.115,0.025,0.000,0.012,0.103,1,success
aws_byte_cursor_read_be64,5.691,0.040,0.125,0.027,0.000,0.013,0.112,1,success
aws_byte_cursor_read_u8,5.714,0.032,0.103,0.022,0.000,0.010,0.093,1,success
aws_byte_cursor_right_trim_pred,5.723,0.046,0.121,0.027,0.000,0.019,0.101,1,success
aws_byte_cursor_satisfies_pred,5.702,0.030,0.064,0.020,0.000,0.010,0.054,1,success
aws_byte_cursor_trim_pred,5.680,0.074,0.371,0.041,0.000,0.033,0.337,1,success
aws_hash_array_ignore_case,5.676,0.040,0.144,0.009,0.000,0.031,0.112,1,success
aws_hash_byte_cursor_ptr,5.725,0.100,0.270,0.054,0.000,0.046,0.222,1,success
aws_hash_byte_cursor_ptr_ignore_case,5.699,0.048,0.153,0.015,0.000,0.033,0.120,1,success
aws_hash_c_string,5.733,0.109,0.285,0.063,0.000,0.046,0.238,1,success
aws_hash_callback_c_str_eq,5.699,0.176,0.934,0.134,0.000,0.042,0.891,1,success
